Stockcode,Descripiton,Cat,Sub Cat,SBU
25770-U,FS NONPOLAR 30M 0.32MM ID,Chemistry,Analytical Chromatography (AC),Gas Chromatography
13801,"SS 6' 1/8"" 80/100 HAYESEP",Chemistry,Analytical Chromatography (AC),Gas Chromatography
25462,FS CAP SUPEL-Q PLOT 30M .,Chemistry,Analytical Chromatography (AC),Gas Chromatography
23048439-10,CUSTOM PACKED NON-GLASS,Chemistry,Analytical Chromatography (AC),Gas Chromatography
24808-U,PK10 1/16IN X 0.8MM ID M-,Chemistry,Analytical Chromatography (AC),Gas Chromatography
20199-U,CELITE 545AW-REAGENT GRAD,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
573663-5KG,"DOWEX G-26, H FORM",Chemistry,Analytical Chromatography (AC),LPLC / Carbon
GE28-9889-48,XK 26/20 COLUMN,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
GE28-9909-44,SUPERDEX 200 INCREASE 10/,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
GE29-1487-21,SUPERDEX(R) INCREASE 75 1,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
436658-1KG,Dowex(R) 21K chloride for,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
216569-500G,AMBERLITE IRA-410 CL RESI,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
80442-100G,SILICA GEL SPEHERICAL,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
Z507237-1EA,Michel-Miller Swagelok(R),Chemistry,Analytical Chromatography (AC),LPLC / Carbon
546976-1KG,DOWEX MAC-3 ION EXCHANGE,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
10464-U,CARBOPACK Y 120/400 50GM,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
11982,"TENAX TA 60/80MESH, 10GM",Chemistry,Analytical Chromatography (AC),LPLC / Carbon
93981-1KG,DIOL-FUNCTIONALIZED SILIC,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
22192-500G-F,CELLULOSE ACETATE PHTHALA,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
428663-500G,DOWEX 50WX4-100 ION-EXCHA,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
60741-5KG,SILICA GEL 60 FOR COLUMN,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
60759-50G,SILICA GEL 100 C(8)-REVER,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
468312-250G,POLY(STYRENE-CO-DIVINYLBE,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
97727-U,"FLASH C18 SILICA, 100GM,",Chemistry,Analytical Chromatography (AC),LPLC / Carbon
115635.0500,ION EXCHANGER AMBERLYST 1,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
115966.0500,ION EXCHANGER AMBERLITE I,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
217425-100G,DOWEX 1X8-200 ION-EXCHANG,Chemistry,Analytical Chromatography (AC),LPLC / Carbon
52791-U,PK5000 3ML EMPTY PP SPE T,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
66883-U,PK20 EMPORE OCTADECYL C18,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
21008-U,PK2 S.S. SCREEN FOR ORBO-,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
54020-U,PK20 ORBO-555 LPDNPH SILI,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
28411-U,PK3 6.35MM X 6.35MM UNION,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57030-U,VISIPREP SPE VACUUM MANIF,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
25095-U,CLEAR TDS3 STORAGE TUBE F,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
28158-U,240V SINGLE UNIT OMEGA CH,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
21341-U,22% H2SO4 COATED SILICA G,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
30139-U,PK10 UNCOND CARBOTRAP 300,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
55408-U,PK100 SUPEL QUE Z-SEP+ 2M,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
55418-U,20GM SUPEL QUE Z-SEP BULK,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
64723,RECEIVING VESSEL 2ML W/GR,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
30274-U,PK10 5L TEDLAR SCV GAS SA,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
54225-U,PK30 DISCOVERY AG-ION SPE,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
24654,PK10 2L TEDLAR PLV GAS SA,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
52703-U,Discovery(R) DSC-8 SPE Tu,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
52713-U,PK54 DISCOVERY DSC-C8 500,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
52786-U,PK30 DISCOVERY DSC-MCAX 6,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
66872-U,PK50 EMPORE C18-SD 7MM/3M,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
64764,CLIP FOR GLASS JOINT 24/4,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
21992,STATIC DILUTION BOTTLE W/,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
52578-U,PK54 PSA SPE TUBE 3ML/200,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
52599-U,PK1000 DISCOVERY DSC-18 6,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
52640-U,PK30 DISCOVERY DSC-NH2 6M,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
102371.2500,Ethanol for GC ECD and FI,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
52596-1L,METHYL PIVALATE,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
104390.9010,N-HEPTANE FOR LIQUID CHRO,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
108101.1000,TETRAHYDROFURAN FOR LIQUI,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
650501-4L,"ACETONE, HPLC PLUS, FOR H",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
650579-4L,"TOLUENE, HPLC PLUS, FOR H",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
34865-2.5L,"TETRAHYDROFURAN, INHIBITO",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
900667-100ML,"ACETONITRILE, FOR UHPLC,",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
154806-2L,"N,N-DIMETHYLACETAMIDE, >=",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
317195-1L,"P-XYLENE, FOR HPLC, >=99%",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
159004.2500,Acetonitrile with 0.1% (v,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
106044.4000,DICHLOROMETHANE FOR LIQUI,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
270547-100ML,"N,N-DIMETHYLFORMAMIDE, FO",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
270598-2L,"1,2-DICHLOROBENZENE, FOR",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
439142-4L,"CHLOROFORM, FOR HPLC, >=9",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
100965.0500,TETRACHLOROETHYLENE FOR S,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
104907.0500,POTASSIUM BROMIDE FOR IR,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
34873-1L,"HEPTANE, FOR HPLC, >=99%",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
34885-2.5L-R,"METHANOL, FOR HPLC, GRADI",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
34958-2L,"1-CHLOROBUTANE, FOR HPLC,",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
270458-100ML,"1-METHYL-2-PYRROLIDINONE,",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
270466-1L,"2-METHYL-1-PROPANOL, FOR",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
270547-4X4L,"N,N-DIMETHYLFORMAMIDE, FO",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
270709-2L,"BENZENE, FOR HPLC, >=99.9",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
302031-10X1ML,"TRIFLUOROACETIC ACID, FOR",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
102937.0500,"N,N-DIMETHYLFORMAMIDE FOR",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
111727.1000,ETHANOL GRADIENT GRADE FO,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
61860725051730,Methanol gradeint grade,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
104391.4000,N-HEXANE FOR LIQUID CHROM,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
108110.0500,TETRAHYDROFURAN FOR SPECT,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
650528-1L,"ETHYL ACETATE, HPLC PLUS,",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
34851-100ML,"ACETONITRILE, FOR HPLC, G",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
34859-1L,"HEXANE, FOR HPLC, >=97.0%",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
34865-4X4L,"TETRAHYDROFURAN, INHIBITO",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
543897.1000,"N,N-Dimethylformamide",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
100029.4000,ACN hypergrade for LC,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
295884-2L,"O-XYLENE, FOR HPLC, 98%",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
102432.2500,CHLOROFORM FOR ORGANIC AN,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
102210.1000,CARBON DISULFIDE FOR SPEC,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
102937.2500,"N,N-DIMETHYLFORMAMIDE FOR",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
114291.2500,ACETONITRILE ISOCRATIC GR,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
104360.2500,n-Heptane for GC ECD and,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
104371.1000,N-HEXANE FOR ORGANIC ANAL,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
104390.2500,N-HEPTANE FOR LIQUIDCHRO,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
106007.9030,METHANOL GRADIENT GRADE F,Chemistry,Solvents (SOL),Solvents Instrumental Analysis
650447-2.5L,"2-PROPANOL, HPLC PLUS, FO",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
650447-6X1L,"2-PROPANOL, HPLC PLUS, FO",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
34857-500ML,"1,4-DIOXANE, FOR HPLC, >=",Chemistry,Solvents (SOL),Solvents Instrumental Analysis
04022-1MG,ATTO 665 NHS ESTER,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
06627-25MG,2-AMINOACRIDONE BIOREAGEN,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
F3639-10MG,"7-FLUORO-2,1,3-BENZOXADIA",Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
GEPA23031,CY3 MALEIMIDE MONO DYE PA,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
59769-5ML-F,Micro particles based on,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
C2776-500MG,1-CYANO-4-DIMETHYLAMINOPY,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
74817-1G,"FITC-CM-DEXTRAN, AVERAGE",Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
36798-25MG-F,7-(DIETHYLAMINO)COUMARIN-,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
01494-500UL,NANCY-520,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
21953-100MG-F,5(6)-CARBOXYTETRAMETHYLRH,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
19511-1.5UMOL,MANT-ADP TRIETHYLAMMONIUM,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
21878-100MG-F,5(6)-CARBOXYFLUORESCEIN N,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
F6625-1G,Flavin adenine dinucleo,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
42208-1MG,ATTO 550 DOPE,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
96631-1MG,"BIS(2,2'-BIPYRIDINE)-4'-M",Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
35848-25G,"2',7'-DICHLOROFLUORESCEIN",Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
03285-1KT-F,CELL COUNTING KIT,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
38377-1MG,"ABBERIOR(R) STAR 580, NHS",Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
50008-50MG-F,4-(2-CARBOXYPHENYL)-7-DIE,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
88793-1MG-F,ATTO 532 NHS ESTER BIOREA,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
SRE0027-250KU,HEPARIN SODIUM PORCINE MU,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
46955-500G-F,"FLUORESCEIN (FREE ACID),",Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
74097-5ML-F,MICRO PARTICLES BASED ON,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
83702-10MG,"RHODAMINE 123 BIOREAGENT,",Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
46950-1G-F,FLUORESCEIN 5(6)-ISOTHIOC,Diagnostics & Regulated Materials,Molecular Materials,Detection systems and reagents
327794-1G,"POLYSTYRENE STANDARD, FOR",Chemistry,Reference Materials (RM),Physical Properties
199054.0500,Buffer solution (red),Chemistry,Reference Materials (RM),Physical Properties
CRM48958,EPA 8260 INTERNAL STD MIX,Chemistry,Reference Materials (RM),Physical Properties
00268-500MG,DEXTRAN STANDARD 1'000 CE,Chemistry,Reference Materials (RM),Physical Properties
00270-500MG,DEXTRAN STANDARD 12'000 C,Chemistry,Reference Materials (RM),Physical Properties
TURB4000-500ML,TURBIDITY 4000 NTU CALIBR,Chemistry,Reference Materials (RM),Physical Properties
02351-250MG,POLY(METHACRYLIC ACID SOD,Chemistry,Reference Materials (RM),Physical Properties
119778.0100,CALCIUM STANDARD SOLUTION,Chemistry,Reference Materials (RM),Physical Properties
119797.0500,SILVER STANDARD SOLUTION,Chemistry,Reference Materials (RM),Physical Properties
500405.0001,Refractive index standard,Chemistry,Reference Materials (RM),Physical Properties
18179-25MG,Pullulan Standard,Chemistry,Reference Materials (RM),Physical Properties
86040-100G,Sulfamic acid,Chemistry,Reference Materials (RM),Physical Properties
92279-100ML,SCANDIUM STANDARD FOR ICP,Chemistry,Reference Materials (RM),Physical Properties
44881-100ML,TERBIUM STANDARD FOR ICP,Chemistry,Reference Materials (RM),Physical Properties
69389-100ML,SILVER STANDARD FOR ICP-M,Chemistry,Reference Materials (RM),Physical Properties
95531-5ML-F,MICRO PARTICLE SIZE STAND,Chemistry,Reference Materials (RM),Physical Properties
109989.0001,TITRISOL NICKEL STANDARD,Chemistry,Reference Materials (RM),Physical Properties
614831-50G,3.5% CR(ACAC)3/BENZENE-D6,Chemistry,Reference Materials (RM),Physical Properties
101748.0250,BARIUM SULFATE FOR WHITE,Chemistry,Reference Materials (RM),Physical Properties
56796-5ML-F,MICRO PARTICLES BASED ON,Chemistry,Reference Materials (RM),Physical Properties
94681-1G,"METHYL 3,5-DINITROBENZOAT",Chemistry,Reference Materials (RM),Physical Properties
70961-250ML-F,"TOC STANDARD, 100MG/L",Chemistry,Reference Materials (RM),Physical Properties
90269-1SET-F,COLOUR REFERENCE SOL. GY,Chemistry,Reference Materials (RM),Physical Properties
100246.0250,Platinum Cobalt Color Ref,Chemistry,Reference Materials (RM),Physical Properties
100266.0001,COLOUR REFERENCE SOLUTION,Chemistry,Reference Materials (RM),Physical Properties
100267.0001,COLOUR REFERENCE SOLUTION,Chemistry,Reference Materials (RM),Physical Properties
109461.1000,BUFFER SOLUTION PH 9.00 (,Chemistry,Reference Materials (RM),Physical Properties
109462.1000,BUFFER SOLUTION PH 11.00,Chemistry,Reference Materials (RM),Physical Properties
SIC001-10NMOL,SIRNA UNIV NEGATIVE CONTR,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
MSTUD0046,SYN MIRNA INHIB MUS MMU-M,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EMU092291-20UG,ESIRNA TARGETING MOUSE KA,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EMU094061-20UG,ESIRNA TARGETING MOUSE AT,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EMU164611-20UG,ESIRNA MOUSE ATF6,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EMU170441-20UG,ESIRNA MOUSE GSK3A,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EMU175651-20UG,ESIRNA MOUSE AIRN,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU044971-20UG,ESIRNA HUMAN CSF2 (ESIRNA,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU045381-20UG,ESIRNA HUMAN PARP3 (ESIRN,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU058451-20UG,ESIRNA HUMAN ANXA3 (ESIRN,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU075051-20UG,ESIRNA HUMAN EPHA2 (ESIRN,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU075681-20UG,ESIRNA HUMAN CREBBP (ESIR,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU076751-20UG,ESIRNA HUMAN BRD4 (ESIRNA,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU003641-20UG,ESIRNA HUMAN PGRMC1 (ESIR,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU007581-20UG,ESIRNA HUMAN EXT1 (ESIRNA,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU008751-50UG,ESIRNA HUMAN EPAS1 (ESIRN,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU010121-20UG,ESIRNA HUMAN STAT1 (ESIRN,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU023111-20UG,ESIRNA HUMAN ZNF423 (ESIR,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU028361-20UG,ESIRNA HUMAN NAT10 (ESIRN,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU031251-50UG,ESIRNA HUMAN CAV1 (ESIRNA,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU032851-20UG,ESIRNA HUMAN CBL (ESIRNA1,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EHU039881-20UG,ESIRNA HUMAN SUPT16H (ESI,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EMU015041-20UG,ESIRNA TARGETING MOUSE 18,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
EMU028861-20UG,ESIRNA TARGETING MOUSE CD,Diagnostics & Regulated Materials,Molecular Materials,Oligos Manufacturing
90637-5ML-F,MICRO PARTICLES BASED ON,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
L030000-6X450ML,ETT ACTIVATOR 0.25M 6X450,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
L040030-6X450ML,"CAP A 450ML, AB, 6 PACK",Diagnostics & Regulated Materials,PM Proligos,Proligo Components
M046030-0.05MMOL,CYANINE 5 PHOSPHORAMIDITE,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
A111050-5G,"DMT-DA(BZ) AMIDITE 5G, SI",Diagnostics & Regulated Materials,PM Proligos,Proligo Components
A111060-12X1G,"DMT-DA(BZ) AMIDITE 1G, 60",Diagnostics & Regulated Materials,PM Proligos,Proligo Components
C113080-12X1G,"DMT-DC(AC) AMIDITE, 1G, 8",Diagnostics & Regulated Materials,PM Proligos,Proligo Components
U211050-10G,DMT-2'O-TBDMS-RU AMIDITE,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
U211630-1G,DMT-2'O-TC-RU AMIDITE,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
T111050-10G,"DMT-DT AMIDITE 10G, SINGL",Diagnostics & Regulated Materials,PM Proligos,Proligo Components
C702000-1G,CPG 1000A RC(TAC) 20-30UM,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
C113030-12X1G,"DMT-DC(AC) AMIDITE, 1G, A",Diagnostics & Regulated Materials,PM Proligos,Proligo Components
G211150-5G,DMT-2'O-Me-rG(ib) Amidite,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
GS14M00-2.20G,5'MeNPOC-dG(ipac) Amidite,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
CL11430-1G,"DMT-LOCMEC(BZ) AMIDITE, A",Diagnostics & Regulated Materials,PM Proligos,Proligo Components
G112030-12X1G,"DMT-DG(TAC) AMIDITE 1G, A",Diagnostics & Regulated Materials,PM Proligos,Proligo Components
HI-0793000-100,COLUMN FILTER 100PK,Diagnostics & Regulated Materials,PM Proligos,Proligo Components
52641-U,PK20 DISCOVERY DSC-NH2 12,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
102014.0001,LICHROLUT EXTRACTION COLU,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
20037,ORBO 2000 LARGE PUF CARTR,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
505361-U,PK50 LPDNPH S10L,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
54046-U,PK30 SUPELCLEAN LC-SI 6ML,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
54052-U,PK108 ENVI-CARB C 1ML/100,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
54075-U,PK50 3ML/350MG DNPH REZOR,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
54095-U,PK30 1G/6ML ENVI-FLORISIL,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57901-U,PK3 SPME ASSY 75UM CAR/PD,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
20362,PK25 ORBO-92 CARBOXEN-564,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
28412-U,"PK3 10MM X 10MM UNION, PT",Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57014,PK54 SUPELCLEAN LC-NH2 3M,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57032,V.M.FLOW CONTROL VALVES 2,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
20211,PK25 ORBO-34 ACT.COCONUT,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57325-U,PK3 SPME KIT ASSORT #4 FL,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57326-U,PK3 SPME ASSY 65UM PDMS/D,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57327-U,PK3 SPME ASSY 65UM PDMS/D,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57334-U,PK3 SPME ASSY 85UM CAR/PD,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
20255-U,PK25 ORBO-100 ON CARBOTRA,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57063,PK54 SUPELCLEAN ENVI-18 5,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57124,VISIDRY 24 PORT DRYING AT,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57130,PK16 SUPELCLEAN ENVI-CARB,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
57160-U,PREPPY 12 PORT SPE VACUUM,Chemistry,Analytical Chromatography (AC),Sample Preparation Workflows
345646-100MG,a-D-Galactose-1-phosphate,Chemistry,Biochemistry IFRS & Other,Direct Assign
63418-25G,D-(+)-Maltose monohy,Chemistry,Biochemistry IFRS & Other,Direct Assign
A1593-25G,Ampicillin,Chemistry,Biochemistry IFRS & Other,Direct Assign
A9730-100MG,ADEFOVIR DIPIVOXIL,Chemistry,Biochemistry IFRS & Other,Direct Assign
C9253-100MG,CHOLESTERYL OLEATE,Chemistry,Biochemistry IFRS & Other,Direct Assign
D2131-500G,DEXTRIN TYPE II,Chemistry,Biochemistry IFRS & Other,Direct Assign
G7528-250G,D-(+)-GLUCOSE BIOXTRA,Chemistry,Biochemistry IFRS & Other,Direct Assign
G7528-5KG,D-(+)-Glucose,Chemistry,Biochemistry IFRS & Other,Direct Assign
G7651-10ML,GLUTARALDEHYDE GRADE I 50,Chemistry,Biochemistry IFRS & Other,Direct Assign
H1640-50UG,"12(S)-HYDROXY-5(Z),8(E),1",Chemistry,Biochemistry IFRS & Other,Direct Assign
M0132-25MG,5-Methyltetrahydrofolic,Chemistry,Biochemistry IFRS & Other,Direct Assign
S5016-2.5KG,SUCROSE ACS REAGENT,Chemistry,Biochemistry IFRS & Other,Direct Assign
SMB00376-100MG,CDDO METHYL ESTER,Chemistry,Biochemistry IFRS & Other,Direct Assign
SMB00387-1G,PROTHIONAMIDE,Chemistry,Biochemistry IFRS & Other,Direct Assign
SMB00388-10MG,"2,4,3',5'-TETRAMETHOXYSTI",Chemistry,Biochemistry IFRS & Other,Direct Assign
SMB00395-500MG,L-THEANINE,Chemistry,Biochemistry IFRS & Other,Direct Assign
SMB00400-25MG,LIGUSTILIDE =96% (HPLC),Chemistry,Biochemistry IFRS & Other,Direct Assign
SMB00436-25MG,PINORESINOL DIGLUCOSIDE,Chemistry,Biochemistry IFRS & Other,Direct Assign
SMB00546-1MG,EMODIN 8-GLUCOSIDE,Chemistry,Biochemistry IFRS & Other,Direct Assign
SMB00577-500MG,Diallyl trisulfide,Chemistry,Biochemistry IFRS & Other,Direct Assign
107660.0250,LACTOSE MONOHYDRATE FOR B,Chemistry,Biochemistry IFRS & Other,Direct Assign
107660.1000,LACTOSE MONOHYDRATE FOR B,Chemistry,Biochemistry IFRS & Other,Direct Assign
23120-100G-F,"ALPHA-CHLORALOSE, >=98.0%",Chemistry,Biochemistry IFRS & Other,Direct Assign
58338,SUPELCOSIL LC-NH2 5UM 25C,Chemistry,Analytical Chromatography (AC),HPLC
58347C40,SUPELCOSIL LC-8-DB 5UM 15,Chemistry,Analytical Chromatography (AC),HPLC
56710-U,"0.005IN ID SS TUBING, 1/1",Chemistry,Analytical Chromatography (AC),HPLC
50622-U,Ascentis Express F5,Chemistry,Analytical Chromatography (AC),HPLC
568273-U,KIT WIDE PORE C18 5UM 2CM,Chemistry,Analytical Chromatography (AC),HPLC
569255-U,HS C18 3UM 15CMX2.1MM DIS,Chemistry,Analytical Chromatography (AC),HPLC
55053,RHEBUILD KIT FOR 9725/972,Chemistry,Analytical Chromatography (AC),HPLC
150434.0001P,ZIC-HILIC PEEK FITTING,Chemistry,Analytical Chromatography (AC),HPLC
150447.0001,ZIC-HILIC 100X2.1MM 3.5UM,Chemistry,Analytical Chromatography (AC),HPLC
150653.0001,PurospherSTAR RP-18e(3um),Chemistry,Analytical Chromatography (AC),HPLC
55062,REPL BOTTLE CAP FOR SOLVE,Chemistry,Analytical Chromatography (AC),HPLC
