Stockcode,Descripiton,blue_oracle_layout,LEGACY_FLAG,Cat,Sub Cat,SBU,HIERARCHY_L6_DESC,SOURCE_SUBSIDIARY
940000000000,"PPX79196 PCBA, PIPETMAX 268 INTERCONNECT",PPX79196,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1975 Merck Millipore USA
CCW903-20PLATES,CCW903-20PLATES Plate Count Agar Plates,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2002
VT000036-10EA,VT000036-10EA BACILLUS SUBTILIS  WDCM 00003 VITROIDS 3,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
900000000000,MXSMCTS48 MILLIFLEX AGAR CASSETTES (TSA),MXSMCTS48,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
08449-100G-F,"08449-100G-F HEMOGLOBIN FROM BOVINE BLOOD, PGE. WITH",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
09142-53.17G-F,09142-53.17G-F ECD ChromoSelect Agar with MUGNutriSele&,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
1012990001,1012990001 READYCULT ENTEROCOCCI 100 20 TESTS,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1014925000,1014925000 L(+)-ARABINOSE FOR MICROBIOLOGY,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1043160500,1043160500 Buffered Peptone Water halal 500 G,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1108780500,1108780500 COUNT AGAR SUGAR FREE FIL-IDF FOR MICROB,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1465700010,1465700010 Buff. NaCl Pept. Sol. w. LT 414090-10P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Media (069),1945 Merck Millipore France
1468130006,1468130006 Luria Broth -6P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Media (069),1945 Merck Millipore France
41126-300UL,41126-300UL HYBRISCAN ENZYME SOLUTION F,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2066 Aldrich Chemical Co. LLC (USA)
49699-96TESTS,49699-96TESTS HYBRISCAND LISTERIA MONOCYTOGENES,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2066 Aldrich Chemical Co. LLC (USA)
70179-500G,70179-500G Peptone WaterNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
89986-500G,89986-500G Universal Differential ChromoSelect Med&,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,MP3PMSTD01 Mfx+ 3 Head Prev Maint w/o contract,MP3PMSTD01,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
910000000000,MP1REQUA11 Mfx+ 1 head Essential Requalification,MP1REQUA11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,RENTALMM1 Milliflex Oasis pump rental,RENTALMM1,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MATRESIQUIM0D NEP Control RESIQUIMOD,MATRESIQUIM0D,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
940000000000,"RGQ9020334 RGQ, PCB-SENSOR W THERMAL FUSE, RGQII",RGQ9020334,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1975 Merck Millipore USA
940000000000,GM10043663 BCL8 SCANNER W/ HOUSING,GM10043663,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
VT000033-10EA,VT000033-10EA Bacillus subtilis subsp. spizizenii WDCM,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
VT000903-10EA,"VT000903-10EA ESCHERICHIA COLI WDCM 00090 VITROIDSTM,",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
900000000000,MHA000T2B SOYBEAN CASEIN DIGEST BROTH,MHA000T2B,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),In Process Testing (066),1975 Merck Millipore USA
900000000000,YY2004K00 ESP Valve Plugs Kit,YY2004K00,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1975 Merck Millipore USA
900000000000,STBMRFA94 Rinse Fluid A 900ml,STBMRFA94,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
900000000000,MXRPMBM0T MEMBRANE MOTOR SPRAYER MILL RAPID,MXRPMBM0T,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,EZCC0VERG LEFT COVER,EZCC0VERG,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
04163-500G-F,"04163-500G-F Nutrient Agar No 2, VegitoneNutriSelect&",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
05040-100G,"05040-100G AGAR, FOR MICROBIOLOGY, POWDER",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2062
07436-500G-F,07436-500G-F VEGETABLE HYDROLYSATE NO 2,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
1018650001,1018650001 Half FRASER broth with suppl 35 SACHETS,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1171770001,1171770001 MAS-100 Iso MH® Control u 1 PC,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1190
1172910001,1172910001 MAS-100 Iso NT® w. Profinet 1 PC,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1190
1173670001,1173670001 Tri-Clamp 34mm  for MAS-100 1 PC,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1190
1401835000,1401835000 EcoCult™ UVM Broth 5 KG,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1461610020,1461610020 ReadyPlate DG18 agar ISO 21527,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1945 Merck Millipore France
1462360120,"1462360120 ReadyPlate SDA ISO, FDA-BAM, EP+USP",,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1945 Merck Millipore France
1463270100,1463270100 NaCl Peptone Broth 9ml 1934R-100P,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1945 Merck Millipore France
1465490020,1465490020 SDA Contact +Cm - RT+ 862-20P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
1465770020,1465770020 Sab. Dextr. Agar - ICR 30ml 03541E-20P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
1468140080,1468140080 IsoBag TSA Settle 1 PC,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
75917-500G,"75917-500G BRAIN HEART INFUSION, PORCINE",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
79143-SIAL,79143 GDS PPMX CHIME BOX,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),2066 Aldrich Chemical Co. LLC (USA)
900000000000,QSMEDEV11 Milliflex Quantum on-site evaluation,QSMEDEV11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
900000000000,EZCMAIPCB ELECTRONIC CARD FOR BATTERY MODEL,EZCMAIPCB,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
900000000000,EMSEMIN01 EM School at central location,EMSEMIN01,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
900000000000,MXQKITSCR0 SCREEN KIT QUANTUM S/N < 282,MXQKITSCR0,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,"EZFITSAM1 EZ-Fit Manifold with HTA Head,1-place, s",EZFITSAM1,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
940000000000,"GM07620111501 ASSY., PCB, READER MODULE",GM07620111501,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
940000000000,PPX79191 NYLON SCREWS FOR REMOVABLE TRAY,PPX79191,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1975 Merck Millipore USA
940000000000,"RGQ9019342 LED, IR, RGQ",RGQ9019342,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1975 Merck Millipore USA
900000000000,STBMRFK34 300ml Fluid K 4/PK,STBMRFK34,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
900000000000,MXRPKT110 MILLIFLEX RAPID KIT 110V WITH COMPUTER,MXRPKT110,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Other Lab Materials Pharma (062),1945 Merck Millipore France
900000000000,TQILPMKIT SERVICE KIT FOR STERITEST EQUINOX ISL,TQILPMKIT,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,SYMBWSS01 STERITEST SYMBIO OVERFILL SENSOR STRAP,SYMBWSS01,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
1037500500,1037500500 YEAST EXTRACT AGAR FOR MICROBIOLOGY (35,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1106640500,1106640500 TEST AGAR PH 8.0 FOR THE INHIBITOR TEST,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1401979010,1401979010 Demi FRASER Broth + antibiot 10 KG,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1455280001,"1455280001 Carrying Case, RCS Plus 1 PC",,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
413003PLATER,413003PLATER CONNECTION KIT FOR GL45 BOTTLE,,RED,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Other Lab Materials Pharma (062),2002
62353-500G-F,62353-500G-F Listeria Enrichment Broth according to &,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
70164-100G,"70164-100G MEAT EXTRACT, FOR MICROBIOLOGY",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
82543-1KG,82543-1KG PROTEIN HYDROLYSATE PRIMATONE HS,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,CNHASV310 STERISECURE STERILITY TESTING DEVICE FOR,CNHASV310,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
900000000000,QNHPMSTD11 Equinox LFH OS Prev Maint w/o contract,QNHPMSTD11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
900000000000,MXP1VAL11 Mfx Plus 1 head on-site IQ/OQ service,MXP1VAL11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
910000000000,EZFPMSTD15 EZ-Fluo OS verif w/o service plan,EZFPMSTD15,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MAVFVAL11 MAS-100 VF on-site IQ/OQ service,MAVFVAL11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MXQUIQOQPP Mfx Quantum IQ OQ Printable Protocol,MXQUIQOQPP,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
93196-10X25DISCS,93196-10X25DISCS MELIBIOSE DISCS,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2066 Aldrich Chemical Co. LLC (USA)
940000000000,"GM07620010300 ASSY., PCB, COP, LOADING BAY",GM07620010300,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
940000000000,ATMVENSCR MAS-100 Atmos Screw connection to Venus,ATMVENSCR,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,ATMKEYRDR MAS-100 Atmos Hardware key reader,ATMKEYRDR,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
C9386-5KG,C9386-5KG HY-CASE SF,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,MSHABGT48 MS Sampler 0.45µm Black Sterile 48/pk,MSHABGT48,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
900000000000,ADAPTDT10 ADAPTER FOR DETECTION TOWER,ADAPTDT10,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
07411-10X25DISCS,07411-10X25DISCS XYLOSE DISCS,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2066 Aldrich Chemical Co. LLC (USA)
1000790010,1000790010 BOLTON BROTH SELECTIVE SUPPLEMENT ACC. T,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1052690500,1052690500 ANTIBIOTIC AGAR NO. 11 GROVE AND RANDALL,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Media (069),1190
1461750100,1461750100 NaCl-Pept-B. with LTH 9ml 380R-100P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Media (069),1945 Merck Millipore France
1665020020-CN,1665020020-CN TSA Contact +LT -ICR 20 P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1213 Merck Life Science Tech. Nantong
17162-500G,17162-500G m-Endo BrothNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
51138-1KT,51138-1KT NITRATE REAGENT DISKS KIT,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2066 Aldrich Chemical Co. LLC (USA)
65985-500G,65985-500G,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2062
67770-500G,"67770-500G METHYL-ALPHA-D-MANNOPYRANOSIDE, FOR &",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2062
89608-10X25DISCS,89608-10X25DISCS GALACTOSE DISCS,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2066 Aldrich Chemical Co. LLC (USA)
910000000000,ASTRAIN12 Air sampler Advanced Operator Training,ASTRAIN12,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MAVFA4VP2 MAS-100 VF Validation Protocol A4 format,MAVFA4VP2,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MM2PMSTD04 Oasis Optional second WS maintenance,MM2PMSTD04,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MM2PLTRP1 Milliflex Oasis  Ess Requal Protocol US,MM2PLTRP1,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MFXRDT2HSNG Housing for MXRDP2DT00,MFXRDT2HSNG,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,RDYSTPC01 Autoclavable 3-Way Stopcock,RDYSTPC01,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1945 Merck Millipore France
940000000000,SBFREQUA11 Symbio Flex Essential Requalification,SBFREQUA11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
A1716-500G,A1716-500G Antibiotic Assay Medium No. 10NutriSele&,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
B3883-25G,B3883-25G BILE BOVINE DRIED UNFRACTIONATED,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
CRM11994M-10EA,CRM11994M-10EA LISTERIA MONOCYTOGENES NCTC 11994 MEDIUM,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
Y1375-1KG,Y1375-1KG YPD BrothNutriSelect Basic,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,MSHAWGT48 MS Sampler 0.45µm White Sterile 48/pk,MSHAWGT48,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
900000000000,"EFHAB100B EZ FIT FUNNEL 100ML BLACK MEMBR 0,45µM",EFHAB100B,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
900000000000,SB1UPHSNG EMPTY UPPER HOUSING FOR SYMBIO ISL,SB1UPHSNG,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,SBM0TRCAM STATOR MOTOR,SBM0TRCAM,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,SYMBASK01 Equinox hub holder adapter screw kit,SYMBASK01,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
1043165000,1043165000 Buffered Peptone Water halal 5 KG,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1090840001,1090840001 EXTRA DUST-COVER FOR COLLECTION HEAD,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1190
1091260001,1091260001 SHOULDER BAG FOR MAS-100 ECO 1 UNIT,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Hygiene Monitoring (065),1190
1133010001,1133010001 BACTIDENT AMINOPEPTIDASE 50 TEST STRIPS,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),1190
1465730006,1465730006 Fluid D acc. USP 577800SD-6P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
17202-500G,"17202-500G Phosphate buffer, APHA, pH 7.2NutriSele&",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
22091-500G,22091-500G Tryptic Soy AgarNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
31400-1KG,"31400-1KG DEXTRIN FROM POTATO STARCH,            &",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
413001PLATER,413001PLATER HOUSING PROTECTION FOR PLATERS,,RED,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Other Lab Materials Pharma (062),2002
70193-500G,70193-500G Staphylococcus AgarNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,MXRPNC110 Milliflex Rapid Kit 110V w/o computer,MXRPNC110,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Other Lab Materials Pharma (062),1945 Merck Millipore France
900000000000,ASPMMNT001 MAS-100 NT Essential WS Service plan,ASPMMNT001,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
900000000000,SYMBFLE01MX STERITEST SYMBIO FLEX  2 M MX,SYMBFLE01MX,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
910000000000,ASPMMEX001 MAS-100 NT Ex Essential service plan,ASPMMEX001,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,RDYTUBE10 ReadyStream® Inlet Tube,RDYTUBE10,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1945 Merck Millipore France
910000000000,MCTRAING21 MC Media Pad e-learning - how to use - G,MCTRAING21,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
910000000000,MAMHIQOQEP MAS-100 Iso MH IQ OQ e-Protocol,MAMHIQOQEP,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,MMKEYPAD1 MFX Oasis Keypad,MMKEYPAD1,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,PPX79198 PIPETMAX 268 BACK COVER,PPX79198,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1975 Merck Millipore USA
940000000000,TSSEMIN21 Sterility Remote School,TSSEMIN21,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,RSMPPUMP1 ReadyStream Media pump,RSMPPUMP1,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
97218-500G,"97218-500G Malt Extract Agar, modifiedNutriSelect &",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
A3340-500G,A3340-500G AC AgarNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
VT000307-10EA,VT000307-10EA SALMONELLA ENTERITIDIS WDCM 00030 VITROI,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
VT000533-10EA,VT000533-10EA ASPERGILLUS BRASILIENSIS WDCM 00053 VITR,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
VT000583-10EA,VT000583-10EA SACCHAROMYCES CEREVISIAE WDCM 00058 VITR,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
900000000000,MXSMCSP48 MILLIFLEX AGAR CASSETTE (SABOURAUD CHLO),MXSMCSP48,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
900000000000,AAWG047S6 0.8um White Gridded S-Pak 47mm 600/Pk,AAWG047S6,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),In Process Testing (066),1945 Merck Millipore France
1053970500,1053970500 MALT EXTRACT BROTH FOR MICROBIOLOGY (17,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
70143-500G,70143-500G Mac Conkey Agar No 1NutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
85927-500G-F,85927-500G-F ECC ChromoSelect Selective AgarNutriSel&,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
